id,calculation_or_output,inputs,formula_or_method,unit,rounding_precision,structure_families,native_equivalent_or_consumer,automatic_handover_safe,mapping_classification,required_verification,failure_unknown_behaviour,source_evidence_status,evidence
C01,Width/length partition,total dimension and pitch,"extent=round(total*1000); pitch=round(step*1000); iterate min(pitch,remaining), store start/size/partial",m; count,Integer mm; JS Math.round at ingestion,All; transverse partition only Venlo,Native bays/bay uniform plus single odd replacement; no residual arrays,No currently activated automatic handover; study/context only until a separately verified definition,Requires new definition,Conservation; short residual; exact multiples; >0 pitch before loop,Zero pitch can hang; imported families unvalidated; native must reject before iteration,Observed r10 prototype method; not engineering or supplier acceptance,R10 partition 1144; N2 len/count
C02,Nearest whole-grid alternatives,extent/pitch,"distinct(max(pitch,floor(total/step)*step),ceil(total/step)*step), rounded 0.001 m",m,JS float ratio then mm rounding,All; width alternatives Venlo,No current native alternative suggestion,No currently activated automatic handover; study/context only until a separately verified definition,Informational,Below one pitch; exact multiple; preserve original input,Suggestions only; do not change entered dimension silently,Observed r10 prototype method; not engineering or supplier acceptance,R10 nearestWhole 1149
C03,Total physical width,Venlo/Quonset width or Gothic/Sawtooth span*spans,Direct entered width or product,m,JS Number in r10; rational possible native,All,facts.width=spans*span excluding wallSpans,No currently activated automatic handover; candidate needs explicit semantic/profile review,Derived,Axes and envelope match; no residual ceil or motor-group substitution,Ambiguous physical module means no quantity proposal,Observed r10 prototype method; not engineering or supplier acceptance,R10 calculate*; N2 w
C04,Floor area,"physical width,length",W*L,m2,Unrounded Number; display 1 decimal,All,"Native facts.area=floor(W*L), not same rounding",No currently activated automatic handover; candidate needs explicit semantic/profile review,Derived,Separate unrounded study and source floor area; boundary below integer,Invalid input unavailable; never substitute formatted value,Observed r10 prototype method; not engineering or supplier acceptance,R10 calculate*; N2 area
C05,Venlo roof rise / peak,"width partitions,pitch,gutter",rise_i=w_i/4*tan(pitch*pi/180); peak=gutter+max(rise_i),m,Approximate tan; peak display 3 decimals,Venlo,Nominal native roof diagram only; no quantity output,No currently activated automatic handover; study/context only until a separately verified definition,Informational,Two peaks/module; residual module reshape explicitly labelled,No structural-profile approval; r10 assumes valid UI ranges,Observed r10 prototype method; not engineering or supplier acceptance,R10 calculateVenlo/drawVenloFront
C06,Venlo roof cross-section / volume,"width segments,pitch,gutter,length",roofCross=sum(w_i^2*tan(pitch)/8); volume=(W*gutter+roofCross)*L,m2 / m3,Number; volume display 1 decimal,Venlo,No native volume consumer; floor area does not imply motor area,No currently activated automatic handover; study/context only until a separately verified definition,Informational,Analytic triangles; partial modules; independent oracle,Invalid inputs must suppress output; no load/performance inference,Observed r10 prototype method; not engineering or supplier acceptance,R10 calculateVenlo
C07,Quonset rise / radius / centre / angle,"width W,sidewall s,ridge r",h=r-s; a=W/2; R=(a*a+h*h)/(2*h); centre=s+h-R; theta=acos((R-h)/R),m / rad,Approximate acos; 1e-6 m domain tolerance in r10,Quonset,None; Arch enum supplies no circular-profile semantics,No currently activated automatic handover; study/context only until a separately verified definition,Informational,h=0; semicircle; h>a; shallow segment cancellation,r10 structure invalid for h<=0 or h>a+1e-6; null dependent geometry,Observed r10 prototype method; not engineering or supplier acceptance,R10 calculateQuonset
C08,Quonset hoop arc / cross-section / volume,"radius,theta,halfwidth,rise,sidewall,length",arc=2*R*theta; segment=R^2*theta-(R-h)*a; volume=(W*s+segment)*L,m / m2 / m3,"Approximate; arc 3 decimals, volume 1",Quonset,No hoop stock/structural quantity consumer,No currently activated automatic handover; study/context only until a separately verified definition,Informational,Semicircle analytic values; shallow profile numerical stability,null when structure invalid; no hoop procurement conversion,Observed r10 prototype method; not engineering or supplier acceptance,R10 calculateQuonset
C09,Quonset screen chord,"screen elevation z,sidewall s,ridge r,radius R,centre c",W below/equal spring; else 2*sqrt(R^2-(z-c)^2),m,Approximate sqrt above spring; r10 1e-6 m elevation tests,Quonset,"Not groupWidth, physical width or clothWidth",No currently activated automatic handover; study/context only until a separately verified definition,Requires new definition,At spring/ridge and both sides; 8 m semicircle independent cases,Screen must be >0 and <ridge-1e-6; invalid opening sentinel -1 in source must become unavailable native,Observed r10 prototype method; not engineering or supplier acceptance,R10 calculateQuonset
C10,Quonset hoop count,longitudinal sections,lengths.length+1,frames,Integer count,Quonset,No native frame count; not motors/down/bays blindly,No currently activated automatic handover; study/context only until a separately verified definition,Informational,End stations and residual extra station,Count can exist with invalid geometry in r10; native contextual only,Observed r10 prototype method; not engineering or supplier acceptance,R10 calculateQuonset
C11,Gothic rise / ridge / profile ordinate,"span,roofAngle,gutter,crown k=0.35,x","rise=span/2*tan(angle); ridge=gutter+rise; y=rise*((2-k)*t-(1-k)*t*t), t=mirrored x/(span/2)",m,Approximate tan; polynomial study curve,Gothic,No native Gothic profile or slope quantity,No currently activated automatic handover; study/context only until a separately verified definition,Informational,Endpoint/crown/symmetry; equivalent angle not physical roof tangent,R10 assumes UI validity; native validates all inputs,Observed r10 prototype method; not engineering or supplier acceptance,R10 gothicRelativeY/calculateGothic
C12,Gothic profile area / volume,"span,rise,k,spans,gutter,length",profileArea=span*rise*((2-k)/2-(1-k)/3); volume=(totalWidth*gutter+spans*profileArea)*L,m2 / m3,Number with approximate rise; display volume 1,Gothic,None,No currently activated automatic handover; study/context only until a separately verified definition,Informational,Analytic quadratic integral independent of source,No structural or thermal performance inference,Observed r10 prototype method; not engineering or supplier acceptance,R10 calculateGothic
C13,Gothic roof arc,"span,rise,crown factor","2*sum(hypot(dx,dy)) over 96 equal half-span segments",m,Polyline approximation; display 3 decimals; drawing uses 48 full-span segments,Gothic,No roof stock/cloth length consumer,No currently activated automatic handover; study/context only until a separately verified definition,Informational,Independent integration/convergence; native change versioned,No estimate of discretisation error in r10; native unavailable if convergence fails,Observed r10 prototype method; not engineering or supplier acceptance,R10 calculateGothic/drawGothicFront
C14,Sawtooth rise / maximum height / slope,"span,pitch,eave",rise=span*tan(pitch); maximum=eave+rise; slope=span/cos(pitch),m,Approximate trig; maximum 2/slope 3 display decimals,Sawtooth,No current family/roof quantity equivalent,No currently activated automatic handover; study/context only until a separately verified definition,Informational,Triangle analytic comparisons and domain bounds,Source assumes UI pitch bounds; native reject nonfinite/out-of-domain,Observed r10 prototype method; not engineering or supplier acceptance,R10 calculateSawtooth
C15,Sawtooth volume,"spans,span,rise,eave,length",(totalWidth*eave+spans*0.5*span*rise)*L,m3,Number; display 1 decimal,Sawtooth,No volume consumer,No currently activated automatic handover; study/context only until a separately verified definition,Informational,Repeated triangle plus wall rectangle,Invalid structure must not appear as approved numeric result,Observed r10 prototype method; not engineering or supplier acceptance,R10 calculateSawtooth
C16,Gross vent area / floor ratio,"ventHeight,length,spans,span",area=ventHeight*L*spans; ratio=100*area/(totalWidth*L),m2 / percent,Number; display area 1/ratio 2 decimals,Sawtooth,No native vent/performance/motor consumer,No currently activated automatic handover; study/context only until a separately verified definition,Informational,ratio=100*ventHeight/span; zero divisors; vent<rise,Not effective aerodynamic area; source computes even when vent geometry invalid,Observed r10 prototype method; not engineering or supplier acceptance,R10 calculateSawtooth
C17,Frame lines,longitudinal sections,lengths.length+1,count,Integer,Gothic/Sawtooth,No native frame component rule,No currently activated automatic handover; study/context only until a separately verified definition,Informational,End station/residual consistency,No frame bill of materials or engineering release,Observed r10 prototype method; not engineering or supplier acceptance,R10 calculateGothic/calculateSawtooth
C18,Opening basis / standard opening / widest opening,"module/span/chord,allowance mm",opening=actual transverse section or chord - allowance/1000; standard uses nominal module/span; max across widths,m internally / mm display,Decimal linear or approximate chord; display mm 1,All,Not exact clothWidth C70; not cut G70 or drive deduction C97,No currently activated automatic handover; study/context only until a separately verified definition,Requires new definition,Allowance subtracted once; residual opening >0; datum/orientation,Nonpositive opening blocks; standard nominal can differ from actual residual; avoid source negative sentinel,Observed r10 prototype method; not engineering or supplier acceptance,R10 finaliseSpanModel/calculateQuonset; N2
C19,Panel identity / count,"width sections,length sections",Cartesian product; Wnn-Lnn or Q-Lnn; count=number of cells,panels,Integer,All,Native count=bays*groups-odd adjustment; not same topology,No currently activated automatic handover; study/context only until a separately verified definition,Requires new definition,Multiplicity and stable snapshot-grid identity; layers fixed one,Never map to motors/across/down or CE-LINE positions,Observed r10 prototype method; not engineering or supplier acceptance,R10 buildSpanPanels/calculateQuonset; N2 count/motorCount
C20,Panel longitudinal study length,"actual longitudinal section,overlength",sectionLength*(1+overlength/100),m / mm,Unrounded Number; display mm 1,All,"Native cut=ceil0.1(groupWidth/(1-shrink)+2*overhang), transverse",No currently activated automatic handover; study/context only until a separately verified definition,Requires new definition,Axis contrast and extra-screen distinct rounding; 4.5*1.01=4.545,Study dimension excludes hems/seams; no finished cut claim,Observed r10 prototype method; not engineering or supplier acceptance,R10 buildSpanPanels; N2 cut/extra
C21,Grouped panel schedule,panels and rounded structural width/section length keys,Group on integer-mm width:length; increment quantity; standard/width residual/length residual/corner labels,mm; panels,Group key mm; opening and study mm 1,All,143 positions are parts/rules not panel rows; five extras not generic bins,No currently activated automatic handover; study/context only until a separately verified definition,Requires new definition,Group totals; one-panel-across fixed assumption; no stale ID reuse,Unknown supplier extras mean preliminary schedule only,Observed r10 prototype method; not engineering or supplier acceptance,R10 buildSpanPanels/finaliseSpanModel
C22,Scheduled net length,all panel studyLength values,sum(panel.studyLength); equivalent to width-section count*L*(1+overlength/100) under source assumptions,linear m,Number accumulation; display/export 3 decimals,All,No equivalent; native cloth is m2 and cut across groups,No currently activated automatic handover; study/context only until a separately verified definition,Requires new definition,Default 484.8; long/corner residual cases; axis/unit checks,Source can retain positive totals even invalid geometry; native suppress affected result,Observed r10 prototype method; not engineering or supplier acceptance,R10 finaliseSpanModel/calculateQuonset; N2 cloth
C23,Scheduled length plus roll allowance,"netScheduled,waste",netScheduled*(1+waste/100),linear m,Number; display/export 3 decimals,All,"Not cloth m2, LS wire rolls or procurement roll count",No currently activated automatic handover; study/context only until a separately verified definition,Requires new definition,Default 509.04; unknown/failed roll qualification,Failed roll: display/export total unavailable; unknown roll: assumption only,Observed r10 prototype method; not engineering or supplier acceptance,R10 summary/CSV/finaliseSpanModel
