requirement_id,requirement,disposition,prototype_boundary,specification,prototype_test_ids,implementation_ids,existing_backlog_ids,implementation_status,test_status,source
CRM-01,"Manage prospects, organisations, people, sites and stakeholder relationships",Partial,Customer/contact/site/operator/asset context; full relationship CRM later,docs/contracts/service-data-dictionary.md,PT-01;PT-02;PT-03;PT-25,P02;P03,PPO-009;PPO-003,P02 shared component verified; full requirement incomplete,P02 components passed; evidence in p02-handover; full PT Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
CRM-02,"Manage qualified leads, opportunities, stages, next actions and close outcomes",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-009,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
CRM-03,"Link calls, meetings, emails, notes, documents and tasks to appropriate records",Partial,Owned service activities/history/document links; mailbox/calendar capture later,docs/blueprints/BP-07-service-operations.md,PT-10;PT-14;PT-30,P03;P09,PPO-009,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
CRM-04,"Support account plans, territory/sector segmentation, customer visits and follow-up",Partial,Owned service-related follow-up only; account plans/territory strategy later,docs/blueprints/BP-07-service-operations.md,PT-14;PT-30,P03;P09,PPO-009,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
CRM-05,"Link alternatives, estimate revisions and orders to one commercial pursuit",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-009,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
CRM-06,"Provide approved visibility of projects, service cases, assets and ERP account information",Partial,Service/assets and restricted synthetic account view; project/whole CRM integration later,docs/contracts/finance-handoff.md,PT-01;PT-20;PT-21,P02;P03;P10,PPO-009;PPO-006,P02 shared component verified; full requirement incomplete,P02 components passed; evidence in p02-handover; full PT Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
CRM-07,"Manage post-delivery reviews, training follow-up, renewals and relevant growth actions",Partial,Technical/customer relationship follow-up; renewal/training automation later,docs/blueprints/BP-07-service-operations.md,PT-14;PT-25;PT-30,P09,PPO-009,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
CRM-08,Preserve required Pipedrive capabilities and migration evidence,Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-009;PPO-014,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
EST-01,"Route work using approved scope, complexity and commercial rules",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-010,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
EST-02,"Manage discovery, design basis, facilities, scope and versioned questionnaires",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-010,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
EST-03,"Manage options, revisions, estimates and quote versions",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-010,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
EST-04,"Cost products, labour, freight, subcontractors and other permitted categories",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-010,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
EST-05,"Apply approved pricing, discount, margin and rounding rules",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-010,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
EST-06,"Preserve validated specialist configuration, including Screen Systems",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-010,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
EST-07,Route estimate and quote approvals separately where policy requires,Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-010,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
EST-08,"Generate and issue controlled quotations, record customer response and prepare ERP conversion",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-010,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
EST-09,Resolve one-off items and track conversion/reconciliation,Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-010;PPO-002,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
ENG-01,"Manage engineering requests, briefs, work packages and capacity",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-011,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
ENG-02,"Maintain requirements, design basis, assumptions and interface responsibilities",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-011,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
ENG-03,Maintain a drawing/document register linked to supported authoring systems,Partial,Exact published technical references; native CAD register/authoring integration later,docs/contracts/document-issue-distribution.md,PT-18;PT-23,P06,PPO-011,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
ENG-04,"Manage reviews, comments, approvals, revisions and formal issues",Partial,Technical source review/issue boundary for packs; full engineering review workflow later,docs/contracts/document-issue-distribution.md,PT-07;PT-23,P06,PPO-011,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
ENG-05,Release design material requirements and approved substitutions,Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-011,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
ENG-06,"Assess technical changes against scope, cost, delivery and installed configuration",Partial,Scope/pack impacts for service changes; full design/cost/procurement impact workflow later,docs/blueprints/BP-07-service-operations.md,PT-05;PT-07;PT-25,P04;P06,PPO-011,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
ENG-07,"Control commissioning criteria, as-built information and technical handover",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-011,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
PRJ-01,Initiate projects from authorised scope and apply a proportionate project class,Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-012,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
PRJ-02,"Manage work packages, milestones, predecessors, baselines and forecasts",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-012,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
PRJ-03,"Maintain RAID, decisions, actions and interface responsibilities",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-012,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
PRJ-04,"Coordinate engineering, procurement, site readiness and technician demand",Partial,Project-reference rescheduling requests only; no project scheduling/migration,docs/blueprints/BP-07-service-operations.md,PT-10,P05,PPO-012,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
PRJ-05,"Control contract obligations, variations and customer commitments",Deferred,Retained in full master and original domain backlog; outside PP-01 implementation,docs/blueprints/BP-01-master-blueprint.md,,,PPO-012,Not implemented,Not run,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
