# scope | proposed destination | information to prepare | workflow steps (semicolon separated) | observable outcome | specific boundary
SH-01|/work|Your identity, assigned activities, dates and blockers|Confirm the active identity and workspace;Review overdue work before future commitments;Open the underlying record to understand the next action|A prioritised personal work list with an accountable next action|An overview is a view of permitted source records, not a separate source of business truth.
SH-02|/work/actions|Activity owner, linked record, due state and completion outcome|Choose Overview, My actions, Reviews & handovers, Blocked & waiting or Team queue;Narrow the list to the relevant owner and work;Open the activity and record an outcome when completing it|The activity has a truthful outcome or a current owner and next step|An unknown due date is different from an overdue date. Completing an activity does not complete its linked job.
SH-03|/work/updates|Notification topic, recipient, channel and delivery preference|Review the source event and its linked record;Separate unread updates from outstanding actions;Review any preference change before applying it|An update is read and its required action is separately owned|The r04 source explicitly says notifications are not connected. Planned delivery and escalation must not be presented as operating.
SH-04|/search|Record name or reference, record type and permitted organisation|Enter a specific name or readable reference;Check the result type and customer/site context;Open the record and confirm its identity before acting|The correct permitted source record is found|Global search is permission scoped. No result can mean missing access, different wording or unsupported indexing.
SH-05|/work/actions?view=saved|Filter criteria, sort order, view name and intended audience|Set the criteria and inspect the resulting records;Save a personal view where supported;For team sharing, define ownership and permitted membership first|A reproducible worklist selection with a clear audience|A saved view does not grant access or freeze the underlying records. Team sharing remains a separate capability.
SH-06|/work/reviews|Originating domain, exact revision, decision requested and receiving owner|Read the submitted evidence and decision scope;Resolve missing information with the originating owner;Use the domain's authorised review or receiving action|A recorded decision or owned clarification against the exact submission|A cross-module inbox must delegate business decisions to the owning workflow.
CS-01|/customers|Organisation name, customer relationship, contacts, sites and external references|Search for an existing organisation before creating another;Confirm contacts and sites belong to the correct organisation;Follow linked records to review relationship history|One correctly identified customer context with owned information gaps|Account visibility and credit decisions require separate Finance permissions. Similar names are not proof of duplicate identity.
CS-02|/people|Person name, organisation relationship, role and verified contact details|Find the person and confirm their organisation;Review their responsibilities and linked records;Record changed contact information with its source|The correct person can be contacted for the intended responsibility|A person's contact details do not establish purchasing, approval or site-access authority.
CS-03|/customers?tab=relationships|Stakeholders, organisations, decision roles and relationship evidence|Identify each stakeholder separately;Describe the evidenced role and relationship;Assign an owner to unknown decision-maker information|A sourced relationship picture with visible gaps|Proposed influence or decision authority must be labelled as an assumption until confirmed.
CS-04|/sites|Customer, site name, address, location hierarchy and access contact|Select the correct customer and site;Review its facilities, equipment and access context;Use the site record when linking downstream work|Work is associated with the correct physical site|Postal address, equipment location and served growing area can be different.
