child_id,requirement,parent_ids,acceptance_ids,increment,design_status,implementation_status,evidence
NC-01,Confirmed context and deterministic versioned suggestions,DOC-01;CRM-03;NFR-09,NA-01;NA-02,N1,Authorised design scope,Application and live integration pending,docs/delivery/naming-sharepoint-handover.md
NC-02,New file and folder preview with verified save state,DOC-01;SVC-06;NFR-09,NA-01;NA-22,N1;N3,Authorised design scope,Application and live integration pending,docs/delivery/naming-sharepoint-handover.md
NC-03,Portable validation and collision refusal for manual and generated candidates,DOC-01;NFR-09,NA-02;NA-03,N1;N3,Authorised design scope,Application and live integration pending,docs/delivery/naming-sharepoint-handover.md
NC-04,Reviewed stale-aware individual and partial batch operations,DOC-01;NFR-02;NFR-09,NA-04;NA-06,N1;N3,Authorised design scope,Application and live integration pending,docs/delivery/naming-sharepoint-handover.md
NC-05,Stable references across files communication and tasks,CRM-03;DOC-01;DOC-05,NA-01,N1;N5,Authorised design scope,Application and live integration pending,docs/delivery/naming-sharepoint-handover.md
NC-06,Original-name history scoped exceptions and alias search,DOC-01;DOC-04;NFR-02,NA-04;NA-05;NA-21,N1;N3,Authorised design scope,Application and live integration pending,docs/delivery/naming-sharepoint-handover.md
NC-07,Issued and CAD source protection with exact successor control,DOC-02;DOC-03;ENG-03;ENG-06;SVC-03,NA-05;NA-12,N3;N4,Authorised design scope,Application and live integration pending,docs/delivery/naming-sharepoint-handover.md
NC-08,Original-intent replay partial completion and unknown-outcome recovery,NFR-02;NFR-06;NFR-09;NFR-11,NA-06;NA-07;NA-08;NA-16;NA-22,N1;N3,Authorised design scope,Application and live integration pending,docs/delivery/naming-sharepoint-handover.md
NC-09,Editable safe subjects from confirmed context,CRM-03;DOC-05,NA-01;NA-10,N1;N5,Authorised design scope,Application and live integration pending,docs/delivery/naming-sharepoint-handover.md
NC-10,Preserved email originals and separate PPO/Outlook composition stages,CRM-03;DOC-05;NFR-09,NA-10;NA-17;NA-18,N5;N6,Authorised design scope,Application and live integration pending,docs/delivery/naming-sharepoint-handover.md
NC-11,Action-led tasks and independently controlled notifications,CRM-03;DOC-05;NFR-09,NA-01;NA-11,N1;N5,Authorised design scope,Application and live integration pending,docs/delivery/naming-sharepoint-handover.md
NC-12,Current scoped authority and confidentiality across search/provider access,DOC-06;NFR-01;NFR-03,NA-09;NA-11;NA-18;NA-20,N1;N2;N3;N5;N6,Authorised design scope,Application and live integration pending,docs/delivery/naming-sharepoint-handover.md
NC-13,SharePoint library metadata views and multi-record identity mapping,DOC-01;DOC-04;ENG-03;SVC-06,NA-13;NA-14;NA-21,N2;N3,Authorised design scope,Application and live integration pending,docs/delivery/naming-sharepoint-handover.md
NC-14,Accessible responsive original/suggested review and explicit state,NFR-08,NA-15;NA-18,N0;N1;N6,Authorised design scope,Application and live integration pending,docs/delivery/naming-sharepoint-handover.md
NC-15,Provider checkpoint recovery honest outcomes and monitoring,NFR-06;NFR-09;NFR-11,NA-07;NA-08;NA-13;NA-14;NA-16;NA-17;NA-20;NA-22,N1;N2;N3;N5,Authorised design scope,Application and live integration pending,docs/delivery/naming-sharepoint-handover.md
NC-16,Verified issued-copy retention supersession restore and cleanup,DOC-02;DOC-06;NFR-06;NFR-10,NA-12;NA-14;NA-19;NA-20,N2;N4,Authorised design scope,Application and live integration pending,docs/delivery/naming-sharepoint-handover.md
