decision_id,question,proposed_owner,closure_evidence_and_gate,status,current_note,source
D-001,"Sponsor, programme mandate and review authority",Executive leadership,Named sponsor and approved discovery scope / G0,Open,PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open.,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-002,"Functional ownership, staffing, deputies and delegated approvals",Executive/process owners,Responsibility and delegation matrix / G1,Open,PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open.,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-003,Programme reference and controlled naming,Product owner/data steward,Assigned reference; preserve SOL008 boundary / G0,Resolved for private prototype,User adopted Powerplants One / PPO and independent PPO-STD-001 r02; implemented under ADR-0005. Other-project STD-001/GEN dependencies removed; external-system authority remains separately governed.,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-004,"Pain baselines, first release and pilot cohort",Product owner/Service,Comparable baseline and agreed release rationale / G1,Partially resolved,"User requested planned-service design package PP-01; synthetic cohort and journey defined. Real baseline and operational pilot cohort remain open. P09 ADR-0014 implements synthetic exact service review, narrow attendance acceptance, durable customer reports and content-bound responses; verification/publication in p09-handover. No operational branding/signature, Finance, live integration, distribution or independent acceptance closure.",docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-005,"MYOB versions, companies, licences, modules and environments",Finance/MYOB administrator,Current configuration and entitlement inventory / G1,Open,"PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open. P10 ADR-0016 implements bounded synthetic Finance contexts, exact source allocations/outcomes and OUT-14; actual verification/publication in docs/delivery/p10-handover.md. No operational accounting, live ERP or retention decision is closed.",docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-006,"MYOB endpoint, authentication, command and recovery contracts",Integration owner,Supported interface evidence and feasibility tests / G2,Open,"PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open. P10 ADR-0016 implements bounded synthetic Finance contexts, exact source allocations/outcomes and OUT-14; actual verification/publication in docs/delivery/p10-handover.md. No operational accounting, live ERP or retention decision is closed.",docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-007,Authoritative service order/appointment/time ownership,Service/Finance/Systems,Chosen ownership model and transaction map / G1,Open,"PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open. P07 ADR-0012 adds bounded personal start authority, immutable typed online evidence and private synthetic PNG recovery; offline/report/Finance and operational policy acceptance remain open.",docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-008,"CAD products, formats, file relationships and storage",Engineering,Supported working/published-file model / G2 before CAD scope,Open,PP-01 records proposed design treatment and missing evidence in docs/prototype/decisions-and-evidence.md; operational closure evidence remains open.,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-009,"Costing formulas, Screen Systems and questionnaire rules",Estimating/Engineering,Versioned source configuration and accepted examples / G2 before estimating replacement,Open,BP-04 r01 and docs/blueprints/estimating-evidence.md map documentary behaviour and missing formula/policy evidence; see docs/delivery/estimating-discovery-handover.md. Synthetic proposals do not provide operational closure.,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
D-010,"Route, pricing, contract and variation authority policies",Commercial/Finance,"Approved rules, thresholds and exception process / G2",Open,BP-04 r01 and docs/blueprints/estimating-evidence.md map documentary behaviour and missing formula/policy evidence; see docs/delivery/estimating-discovery-handover.md. Synthetic proposals do not provide operational closure.,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
