id,module,field_family,ppo_purpose,myob_screen_candidate,myob_field_candidate,myob_usage_status,myob_observed_screen,myob_observed_field,api_entity_path,api_status,vendor_example_path,ppo_destination,ppo_destination_status,company_context,data_type,required_when,allowed_values,units_currency,authority,direction,validation,transform,evidence_status,evidence_ref,verified_at,approved_by,approval_ref,source_ids,discovery_question,next_action
MYOB-001,Shared,Customer account identifier,Link organisation to the exact billing account.,Customer account screen — to confirm,Customer/account identifier,Unknown — not observed,,,,Not verified,Customer.CustomerID.value,ErpAccountMapping.customer_id,Logical contract,Connection + tenant/company + entity + external key; branch where required,Text,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,"Preserve leading zeros; qualify by connection, company and entity.",Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-02,"Is customer account identifier used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-002,Shared,ERP connection and company,Prevent cross-company account linkage.,Tenant/company context — to confirm,Connection / company / branch scope,Unknown — not observed,,,,Not verified,,ErpAccountMapping.erp_connection_id + erp_company_id,Logical contract,Connection + tenant/company + entity + external key; branch where required,Qualified reference,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,Branch is a separate scope dimension; never replace legal company with branch.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-01,"Is erp connection and company used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-003,CRM,Account legal name,Display debtor identity alongside the relationship name.,Customer account screen — to confirm,Legal name,Unknown — not observed,,,,Not verified,Customer.CustomerName.value,Organisation.legal_name (reviewed association),Logical contract,Connection + tenant/company + entity + external key; branch where required,Text,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,A changed name does not create or merge an organisation automatically.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-02,"Is account legal name used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-004,CRM,Account status,Show whether the billing account can be used.,Customer account screen — to confirm,Active / inactive / hold status,Unknown — not observed,,,,Not verified,,ERP account observation.status,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Source enum,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,Obtain the actual enum; credit hold and inactive are not interchangeable.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is account status used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-005,Finance,Payment terms,Inform commercial review using current terms.,Customer account screen — to confirm,Terms code,Unknown — not observed,,,,Not verified,,ERP account observation.payment_terms,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Source code,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,PPO cannot silently change terms or calculate due dates from guessed rules.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is payment terms used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-006,Finance,Credit status and limit,Make permitted credit context available to Finance.,Customer account screen — to confirm,Credit status / limit,Unknown — not observed,,,,Not verified,,Restricted account context.credit_status,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Source status + money,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,Do not expose credit limits to field users; no invented approval threshold.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is credit status and limit used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-007,Finance,Account currency,Keep foreign-currency accounts and handoffs distinct.,Customer account screen — to confirm,Currency,Unknown — not observed,,,,Not verified,,ERP account observation.currency,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,ISO currency,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,Validate actual currency code; do not assume AUD for every company.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-03,"Is account currency used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-008,CRM,Contact source identifier,Associate a source contact with a PPO Person.,Contacts screen — to confirm,Contact identifier,Unknown — not observed,,,,Not verified,,Person external-reference link,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Qualified reference,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",Unresolved,Decision required,Email and phone are not primary keys; handle shared and changed addresses.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-02,"Is contact source identifier used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-009,CRM,Contact display name,Display the correct person across workflows.,Contacts screen — to confirm,Name,Unknown — not observed,,,,Not verified,,Person.display_name,Logical contract,Connection + tenant/company + entity + external key; branch where required,Text,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",Unresolved,Decision required,Agree which system may change imported names; retain source provenance.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-02,"Is contact display name used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-010,CRM,Contact email,Use a reviewed contact method.,Contacts screen — to confirm,Email,Unknown — not observed,,,,Not verified,Customer.MainContact.Email.value,Person.email,Logical contract,Connection + tenant/company + entity + external key; branch where required,Text,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",Unresolved,Decision required,Validate syntax; an email field does not establish consent or preferred recipient.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-02,"Is contact email used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-011,CRM,Contact phone,Support service coordination.,Contacts screen — to confirm,Phone,Unknown — not observed,,,,Not verified,,Person.phone,Logical contract,Connection + tenant/company + entity + external key; branch where required,Text,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",Unresolved,Decision required,Preserve country code and extension as text; no numeric conversion.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-02,"Is contact phone used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-012,Shared,Account location identifier,Relate ERP delivery/billing location to operational site.,Customer locations — to confirm,Location identifier,Unknown — not observed,,,,Not verified,,Account-location-to-Site crosswalk,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Qualified reference,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",MYOB,MYOB → PPO,Many-to-many candidates need explicit review; location code alone is insufficient.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-02,"Is account location identifier used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-013,Shared,Delivery address,Plan attendance and distinguish delivery destination.,Customer locations — to confirm,Address / suburb / state / postcode / country,Unknown — not observed,,,,Not verified,Customer.MainContact.Address.AddressLine1.value,Site.address (reviewed association),Logical contract,Connection + tenant/company + entity + external key; branch where required,Structured address,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",Unresolved,Decision required,Never overwrite an operational site solely because a billing address changed.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-02,"Is delivery address used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-014,Shared,Site billing party,"Separate site owner, operator and bill-to party.",Customer/project context — to confirm,Billing customer/location,Unknown — not observed,,,,Not verified,,SiteParty + ErpAccountMapping,Logical contract,Connection + tenant/company + entity + external key; branch where required,Effective reference,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",Unresolved,Decision required,Effective dates and evidence; new operator does not rewrite historical billing.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-02,"Is site billing party used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-015,Shared,Site identity and timezone,Provide addressed horticultural work context.,No ERP equivalent established,Site name / work location,Unknown — not observed,,,,Not verified,,Site.display_name + timezone,Logical contract,Connection + tenant/company + entity + external key; branch where required,Text + IANA timezone,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",PPO candidate,PPO only / link,MYOB account locations may not contain operational timezone or access details.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-02,"Is site identity and timezone used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-016,Shared,Site access and biosecurity,"Support safe, prepared attendance.",No ERP equivalent established,Access / biosecurity information,Unknown — not observed,,,,Not verified,,Site.access_instructions + biosecurity_notes,Logical contract,Connection + tenant/company + entity + external key; branch where required,Restricted text,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",PPO candidate,PPO only / link,Review controls before dispatch; share only with permitted assigned staff.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-02,"Is site access and biosecurity used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-017,Shared,Facility identity and parent site,Locate work within a site.,No ERP equivalent established,Facility / greenhouse / structure,Unknown — not observed,,,,Not verified,,Facility.site_id + parent_facility_id + name,Logical contract,Connection + tenant/company + entity + external key; branch where required,Qualified hierarchy,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",PPO candidate,PPO only / link,Facility belongs to one site; reject cycles and cross-site parent relationships.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-02,"Is facility identity and parent site used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
MYOB-018,Shared,Growing-area identity,Record the precise crop-production area affected.,No ERP equivalent established,Bay / bench / growing area / irrigation zone,Unknown — not observed,,,,Not verified,,Growing-area link under Site/Facility,Proposed logical destination,Connection + tenant/company + entity + external key; branch where required,Qualified hierarchy,Before the linked workflow relies on this information,Installed source values to confirm; no guessed source enums,"Explicit source UOM, ISO currency and tax basis where applicable",PPO candidate,PPO only / link,Adopt receiving schema before implementation; physical area need not equal irrigation zone.,Preserve source value and key; validate and apply only an explicitly approved mapping/conversion.,Proposed,,,,,SRC-05,"Is growing-area identity used in the installed MYOB process, and which exact field/API representation supplies it?","Observe representative use, capture redacted evidence, confirm the endpoint contract and test in the approved non-production environment."
