document_id,title,canonical_path,revision,status,owner,source_commit,legacy_names,supersedes,versioning,last_labelled_revision
PPO-DEVELOPMENT-WORKSPACE,Working design and build register,docs/design/development/register.json,,Schema 2; local implementation and draft review records,Dean Fiedler,ccc2251bbba9df266cac9027ddaa9418ab9abc1d,,,git,r01
PPO-DEVELOPMENT-WORKFLOW,Working design register maintenance,docs/design/development/README.md,,Git master workflow and review boundaries,Dean Fiedler,ccc2251bbba9df266cac9027ddaa9418ab9abc1d,,,git,r01
PPO-DEVELOPMENT-WORKSPACE-HANDOVER,Design and development workspace handover,docs/delivery/development-workspace-handover.md,r01,Local implementation for review; operational and visual acceptance separate,Dean Fiedler,ccc2251bbba9df266cac9027ddaa9418ab9abc1d,,,retained-record,
PPO-ADR-0040,Git-backed design and development workspace,docs/decisions/ADR-0040-development-workspace.md,r01,User-authorised local implementation,Dean Fiedler,ccc2251bbba9df266cac9027ddaa9418ab9abc1d,,,retained-record,
PPO-PAGE-REGISTER,App page register and guide library,docs/reference/ui/app-page-register/PPO-App-Page-Register-r05.html,r05,Standalone delivered for review; draft guidance and visual review pending,Dean Fiedler,ccc2251bbba9df266cac9027ddaa9418ab9abc1d,,PPO-PAGE-REGISTER-R04,retained-record,
PPO-PAGE-REGISTER-R04,App page register uploaded r04,docs/reference/ui/app-page-register/PPO-App-Page-Register-r04.html,r04,Uploaded reference preserved byte-for-byte; dated scope assessment,Dean Fiedler,98aa2b47a1f13e3d9fdd10984b088b7b00801548,,,retained-record,
PPO-PAGE-GUIDE-LIB,Portable page guide library,docs/design/app-page-register/guide-library.json,r05,Schema 1; Draft articles; application adapter not installed,Dean Fiedler,ccc2251bbba9df266cac9027ddaa9418ab9abc1d,,,retained-record,
PPO-PAGE-REGISTER-DEC,App page register decision and conformance,docs/decisions/app-page-register.md,r01,Authorised standalone build; proposed composition and guide review pending,Dean Fiedler,ccc2251bbba9df266cac9027ddaa9418ab9abc1d,,,retained-record,
PPO-PAGE-REGISTER-HANDOVER,App page register r05 handover,docs/delivery/app-page-register-r05-handover.md,r01,Document delivery; application integration and operational acceptance pending,Dean Fiedler,ccc2251bbba9df266cac9027ddaa9418ab9abc1d,,,retained-record,
PPO-NAV-ICON-REC,Department navigation and icon recommendations,docs/reference/ui/application-shell/PPO-Department-Navigation-Icon-Register-r02.md,r02,Issued source retained unchanged; runtime readiness is separately verified,Dean Fiedler,ab96e2b83598ba8f80688d2d68e4907a21453793,,,retained-record,
