id,r10_field,meaning,unit,structure_family,native_candidate,native_meaning_unit,mapping_classification,conversion_or_derivation,source_authority,calculation_impact,historical_run_impact,open_question,evidence
F01,families.venlo.width,Overall transverse physical structure width,m,Venlo,facts.width; no editable total-width field,spans * span; physical width m,Derived,Propose spans=width/module only for confirmed whole physical modules; never ceil residual or use roof-peak count,Entered study dimension or explicitly adopted Facility width_m,Geometry partitions/area/volume; accepted dimension tuple affects cloth/wire/drive rules,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Does one r10 dual-peak module equal one physical native span?,R10 geometrySpecs/defaultFamilies; N1/N2
F02,families.venlo.length,Overall longitudinal physical extent,m,Venlo,facts.length via bays/bay/odd,(bays-odd)*bay + odd*odd_bay_default_m; m,Derived,Only full uniform grid proposes bays=length/spacing with odd=No; residual is not odd,Entered/adopted length after extent confirmation,Grid/panels/volume; accepted dimensions affect all length consumers,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,How is each end condition supported?,R10 geometrySpecs/defaultFamilies; N1/N2
F03,families.venlo.gutter,Ground-to-gutter height,m,Venlo,None; do not map inputs.height,height is screen elevation C31 in m,Informational,Store geometry gutter_height_m; no subtraction of 0.46 m into native height,Entered assumption or supplier/measurement evidence,Roof peak/volume/front/side; no native quantity consumer,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Confirm datum and actual screen plane,R10 geometrySpecs/defaultFamilies; N1/N2
F04,families.venlo.module,One structural module containing two equal roof peaks; presets 3.2/4/4.27/4.8,m,Venlo,inputs.span only after module/span equivalence,Physical span width G25 m; not count of roof peaks,Requires new definition,Retain module_width_m; version physical module-to-span interpretation before mapping,R10 model convention and study preset; not supplier standard,Grid/roof area/opening; native mapping could affect group width/cut/drive,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Are structural screen spans identical to dual-peak modules?,R10 geometrySpecs/defaultFamilies; N1/N2
F05,families.venlo.spacing,Longitudinal post/truss centres; presets 4/4.5/5,m,Venlo,inputs.bay; never inputs.spacing,bay is longitudinal bay length G26 m; spacing is drive target C97 m,Direct,Same length only after exact axis/support confirmation and regular grid; all three presets exist in cloth lookup; explicit adoption,Entered structural spacing; native recovered bay interpretation,Grid and panel length; native cloth-width lookup and dependent quantities,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Does frame pitch equal cloth support bay for this selected system?,R10 geometrySpecs/defaultFamilies; N1/N2
F06,families.venlo.roofPitch,Roof slope assumption for two-peak module,degree,Venlo,None; inputs.roof is enum only,Gable/Arch/Venlo schematic roof selection; no angle,Informational,Store degrees; convert radians only inside geometry calculation,User-entered study assumption,tan controls peak/volume/drawing; no native quantity rule,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Supplier actual pitch/profile?,R10 geometrySpecs/defaultFamilies; N1/N2
F07,families.quonset.width,Ground-to-ground transverse tunnel width,m,Quonset,facts.width context only,Native width=physical spans*span; not screen chord,Requires new definition,Store tunnel_width_m; do not replace groupWidth/span with chord or infer one quantity span,Entered/adopted physical dimension,Radius/chord/area/volume/panel opening,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Actual hoop shape and support topology?,R10 geometrySpecs/defaultFamilies; N1/N2
F08,families.quonset.length,Longitudinal tunnel extent,m,Quonset,facts.length context / future bays tuple,Native regular or one odd bay physical length m,Derived,Full length/hoop pitch may derive study section count; native tuple requires verified support pitch and lookup,Entered/adopted physical length,Partition/panels/volume; no automatic quantity handover,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Are hoop centres the screen supports?,R10 geometrySpecs/defaultFamilies; N1/N2
F09,families.quonset.sidewall,Straight-side height where circular segment starts,m,Quonset,None; not height or gutter,Native height C31 is screen level m,Informational,Store spring_height_m; define datum,Entered study assumption/measurement,Rise/radius/centre/volume/chord,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Is profile circular above this spring line?,R10 geometrySpecs/defaultFamilies; N1/N2
F10,families.quonset.ridge,Maximum ridge height above floor,m,Quonset,Facility maximum_height_m as offered source; no native quantity field,Native height C31 is screen level; maximum height is not it,Informational,May adopt Facility maximum height as proposed ridge only after confirming same envelope/datum,Entered or explicitly adopted observation,Rise/validity/volume/chord/roof,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Does maximum height correspond to this ridge and datum?,R10 geometrySpecs/defaultFamilies; N1/N2
F11,families.quonset.spacing,Hoop spacing; presets 1.22/1.5/1.83/2,m,Quonset,inputs.bay candidate; never inputs.spacing,Longitudinal cloth support bay m; C97 is drive target,Requires new definition,Only 2 m overlaps existing cloth lookup; hoop/support equivalence still unproved; no rounding to nearest supported row,Study preset; supplier support evidence absent,Section count/material lengths; unsupported native bay blocks quantity calculation,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Support spacing and compatible material orientation?,R10 geometrySpecs/defaultFamilies; N1/N2
F12,families.quonset.screenElevation,Horizontal internal screen level above floor,m,Quonset,inputs.height,Height to screen C31 m; drawing context without surviving quantity consumer,Direct,Same datum/physical screen must be confirmed; no unit conversion; below ridge,Entered/adopted screen measurement; never derive from Facility max height,Changes chord/opening/roll fit in study; native quantity unchanged,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Same installed screen datum and clearance?,R10 geometrySpecs/defaultFamilies; N1/N2
F13,families.gothic.span,Width of each connected structural span; presets 6.4/8/9.6/12.8/16,m,Gothic,inputs.span,Physical span width G25 m,Direct,Same transverse physical span after explicit confirmation; no family/parts approval conveyed,Entered study preset or confirmed dimension,Total width/roof/opening; accepted dimension affects native quantities,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Are supports and screen-group spans compatible with recovered rules?,R10 geometrySpecs/defaultFamilies; N1/N2
F14,families.gothic.spans,Whole connected structural spans,count,Gothic,inputs.spans,Physical spans C24; excludes wallSpans,Direct,Whole count only; never add wall spans or substitute across/motor count,Entered structural arrangement,Width/panel multiplicity; proposed native physical count,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,Are connected spans one physical study envelope?,R10 geometrySpecs/defaultFamilies; N1/N2
F15,families.gothic.length,Longitudinal structure extent,m,Gothic,facts.length via bays/bay,Physical length m; odd has special legacy meaning,Derived,Uniform verified grid may derive bays; residual requires new definition,Entered/adopted physical dimension,Sections/area/volume/schedule,New draft/run only; preserve original raw/adopted values and old hashes; relevant semantic change requires new study/manual review,End support/custom residual details?,R10 geometrySpecs/defaultFamilies; N1/N2
