key,label,source,display_unit,calculation_type,technical_constraint,stored_draft,default_attribution,applicability
spans,Physical spans,C24,count,Integer,>0; <=1000000; <=6 decimal places; integer,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
wallSpans,Extra wall-screen spans,G24,count,Integer,>=0; <=1000000; <=6 decimal places; integer,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
span,Span width,G25,m,Exact decimal,>0; <=1000000; <=6 decimal places,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
bays,Bays along length,C26,count,Integer,>0; <=1000000; <=6 decimal places; integer,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
bay,Bay length,G26,m,Exact decimal,>0; <=1000000; <=6 decimal places,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
odd,Extra-long bay,C27,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
truss,Truss shape,C30,,Enum,Exact enum: SQUARE / ROUND,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
chordHeight,Truss chord height,G30,mm,Enum,Exact enum: 20 / 25 / 30 / 35 / 40 / 50 / 60,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
height,Height to screen,C31,m,Exact decimal,>=0; <=1000000; <=6 decimal places,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
roof,Roof profile,,,Enum,Exact enum: Gable / Arch / Venlo,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
overhang,Overhang at each end,C67,m,Exact decimal,>=0; <=1000000; <=6 decimal places,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
shrink,Shrinkage allowance,G67,%,Exact decimal,>=0; <=1000000; <=6 decimal places; <100 percent,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
individual,Individual screens per span,C68,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
seals,Include edge seals,C69,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
wider,Cut from wider sheet,C71,,Enum,Exact enum: No / Yes,Raw text <=300; incomplete numeric drafts accepted,Recovered default; not confirmed requirement,Validate all stored scalars including inactive fields; source branch selection controls use
