requirement_id,requirement,source_control,evidence,proposed_owner,release_boundary,dependencies_and_spec,planned_acceptance,initial_backlog_ids,approval_status,implementation_status,test_status,source
CRM-01,"Manage prospects, organisations, people, sites and stakeholder relationships","Distinguish customer group, legal account and site operator","SRC-01: CRM integration request, UC; SRC-02: Customers/sites/opportunities, DG",Sales/Data,A-min selected identity; B full relationships,D-011; DAT-01–DAT-03; PAR-01; BP-02/BP-03,AT-01/AT-02/AT-25/AT-30,PPO-009;PPO-003,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
CRM-02,"Manage qualified leads, opportunities, stages, next actions and close outcomes",Stages are defined and mapped; lost reasons and history retained,"SRC-01: Pipedrive outcomes, UC; SRC-17 stage records, PO",Sales,B qualification/pipelines,D-013; PAR-02–PAR-04; Section 9.4; BP-03,AT-24/AT-25,PPO-009,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
CRM-03,"Link calls, meetings, emails, notes, documents and tasks to appropriate records","Access, filing, deduplication and original message references controlled","SRC-01: integrated CRM, UC; SRC-02: Documents/notes/tasks, DG",Sales/Systems,A-min approved manual communications; B full activity/email,D-025; PAR-05/PAR-06; OUT-17; BP-03,AT-20/AT-25,PPO-009,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
CRM-04,"Support account plans, territory/sector segmentation, customer visits and follow-up",Include horticultural context and owner accountability,"SRC-01: relationship-building requirement, UC; account planning is PR",Sales,B account/territory/visit planning,D-013; PAR-07; REP-03; BP-03,AT-25,PPO-009,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
CRM-05,"Link alternatives, estimate revisions and orders to one commercial pursuit",Forecast rules prevent double counting mutually exclusive options,"SRC-02: Estimation workspace options/revisions, DG; SRC-01 integration, UC",Sales/Estimating,B pursuit/option integration,D-009/D-013; CRE-03; BR-04; BP-03/BP-04,AT-03/AT-26,PPO-009,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
CRM-06,"Provide approved visibility of projects, service cases, assets and ERP account information",Financial and confidential notes restricted by role,"SRC-01: account/invoice/project/service visibility, UC",Sales/Finance,A-min selected context; B wider customer view,D-011/D-017/D-020; DAT-01; FD-01/FD-02; BP-03/BP-09,AT-01/AT-18/AT-31,PPO-009;PPO-006,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
CRM-07,"Manage post-delivery reviews, training follow-up, renewals and relevant growth actions","A service observation creates a reviewed opportunity, not an automatic customer commitment","SRC-01: stronger customer relationships and service, UC; aftercare design PR",Sales/Service,A-min owned follow-up; B lifecycle/renewals,D-018/D-028; PAR-10; SVC-12.4; BP-03/BP-07,AT-14/AT-25/AT-33,PPO-009,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
CRM-08,Preserve required Pipedrive capabilities and migration evidence,Complete a feature/data parity register before CRM cutover,"SRC-01: Pipedrive equivalence request, UC; SRC-17 PO; SRC-20 ER",Sales/Product owner,A shared framework; B accepted parity; add-ons conditional,D-013/D-025/D-026; PAR-01–PAR-18; BP-03,AT-01/AT-21/AT-23/AT-24/AT-25,PPO-009;PPO-014,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
EST-01,"Route work using approved scope, complexity and commercial rules",Validate existing CREMS routes; record policy version and rationale,"SRC-02: Starting an enquiry/routing, DG",Commercial/Estimating,B approved route and entry flows,D-010; CRE-01/CRE-02/CRE-24; BP-04,AT-26,PPO-010,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
EST-02,"Manage discovery, design basis, facilities, scope and versioned questionnaires","Required answers, assumptions, deferrals and approved overrides distinguishable","SRC-02: Facilities/scope, Questionnaire and workspace re-snapshot, DG",Estimating/Engineering,B scope/questions,D-009; CRE-05/CRE-06; OUT-04/OUT-05; BP-04,AT-27/AT-36,PPO-010,Proposed,Not implemented,Planned,docs/reference/baselines/GEN_SPC_PPABusinessPlatform_MasterBlueprint_v02.md
